shoutouts to tom fulp,lmao
Ludum dare,extraordinaire
cyberzone,coming soon
love to thriftman,swag
ultimate rhythm gaming,probably
dope ass game,playstation magazine
in loving memory of,henryeyes
dancin,forever
funkin,forever
ritz dx,rest in peace lol
rate five,pls no blam
rhythm gaming,ultimate
game of the year,forever
you already know,we really out here
rise and grind,love to luis
like parappa,but cooler
album of the year,chuckie finster
free gitaroo man,with love to wandaboy
better than geometry dash,fight me robtop
kiddbrute for president,vote now
play dead estate,on newgrounds
this is a god damn prototype,we workin on it okay
women are real,this is official
too over exposed,newgrounds cant handle us
Hatsune Miku,biggest inspiration
too many people,my head hurts
newgrounds,forever
refined taste in music,if i say so myself
his name isnt keith,dumb eggy lol
his name isnt evan,silly tiktok
stream chuckie finster,on spotify
never forget to,pray to god
dont play rust,we only funkin
good bye,my penis
dababy,biggest inspiration
fashionably late,but here it is
yooooooooooo,yooooooooo
pico funny,pico funny
updates each friday,on time every time
shoutouts to mason,for da homies
bonk,get in the discord call
carpal tunnel,game design
downscroll,i dont know what that is
warning,choking hazard
devin chat,what an honorable man
github exclusive,intro text
potioned exclusive,intro text
cussing,we have it
parental advisory,explicit content
pico says,trans rights
vs sword,check it out
what the fuck,is an fnf
rewritten,from the ground up
performance,we might have it
saying hello to,the friends that live in my pc
my comfort character,is my oc <3
programming,null();
programming,is my worst enemy
programming,makes me wanna kms sometimes
forever engine,go fuck yourself
psych engine,go fuck yourself
holy fuck,lois im cumming
10illion,10illy
silly billy,my beloved
hey man,hows it goin
hell is,haxeflixel
heaven is,godot engine
if you think,you have thoughts
sex joke,sex joke
lets go gambling!,*machine noises* aw dangit!
lets be finanically responsible!,*machine noises* i cant stop winning!
sorry but were gonna,have to kill you with hammers
i always love standing here,staring at this brick wall
my god is that a rainbow??,*heaven noises*
well well well,what do we have here? 3 wells!
youre listening to,corndog radio
mayday mayday,im going down!!!
what are you up to,oh im just boiling some dogs alive
the pizza here is super good,is that sans? *sans noises* *shock*
cant wait to game after my shift,*sleeps immediately*
hey man did you know cheese is a-,LIAR LIAR PANTS ON FIRE!! AAAHGAHGHAHGAH
yo its 420 lets go!,all crime is legal for the next 24hrs!
hey man u wanna play some ping-pong?,sure let's do it *intense ping-ponging*
comically tall man,why are you so tall
we are lua,you cannot beat us
feels great to be,g  a     y    !
im going insane,please help me
negative money,im in credit card debt
